HotelName,Rating,Website,Phone,Details,Address,ZipCode,City
Andaz 5th Avenue,4,http://www.tripadvisor.com/Hotel_Review-g60763-d1762573-Reviews-Andaz_5th_Avenue-New_York_City_New_York.html,,,485 5th Avenue,10017,New York City
Hotel Beacon,3,http://www.tripadvisor.com/Hotel_Review-g60763-d93338-Reviews-Hotel_Beacon-New_York_City_New_York.html,,,2130 Broadway at 75th Street,10023,New York City
"The Ritz-Carlton New York, Central Park",5,http://www.tripadvisor.com/Hotel_Review-g60763-d224224-Reviews-The_Ritz_Carlton_New_York_Central_Park-New_York_City_New_York.html,,,50 Central Park South,10019,New York City
Holiday Inn Hotel-Houston Westchase,3,http://www.tripadvisor.com/Hotel_Review-g56003-d1866401-Reviews-Holiday_Inn_Hotel_Houston_Westchase-Houston_Texas.html,,,10609 Westpark Drive,77042,Houston
Omni Houston Hotel,4.5,http://www.tripadvisor.com/Hotel_Review-g56003-d99060-Reviews-Omni_Houston_Hotel-Houston_Texas.html,,,4 Riverway,77056,Houston
La Quinta Inn & Suites Houston - Normandy,2.5,http://www.tripadvisor.com/Hotel_Review-g56003-d1218737-Reviews-La_Quinta_Inn_Suites_Houston_Normandy-Houston_Texas.html,,,930 Normandy St,77015,Houston
Crowne Plaza Houston - Brookhollow,3.5,http://www.tripadvisor.com/Hotel_Review-g56003-d99081-Reviews-Crowne_Plaza_Houston_Brookhollow-Houston_Texas.html,,,12801 Northwest Fwy,77040-6301,Houston
Drury Inn & Suites Houston Near The Galleria,3,http://www.tripadvisor.com/Hotel_Review-g56003-d107915-Reviews-Drury_Inn_Suites_Houston_Near_The_Galleria-Houston_Texas.html,,,1615 W. Loop South,77027,Houston
The Westin Houston Memorial City,4,http://www.tripadvisor.com/Hotel_Review-g56003-d1966350-Reviews-The_Westin_Houston_Memorial_City-Houston_Texas.html,,,945 Gessner Road,77024,Houston
Hilton University of Houston,3.5,http://www.tripadvisor.com/Hotel_Review-g56003-d108038-Reviews-Hilton_University_of_Houston-Houston_Texas.html,,,4800 Calhoun Rd,77004,Houston
Hotel Sorella CITYCENTRE,4,http://www.tripadvisor.com/Hotel_Review-g56003-d1200103-Reviews-Hotel_Sorella_CITYCENTRE-Houston_Texas.html,,,800 Sorella Court,77024,Houston
"Hotel Icon, Autograph Collection",4,http://www.tripadvisor.com/Hotel_Review-g56003-d283873-Reviews-Hotel_Icon_Autograph_Collection-Houston_Texas.html,,,220 Main Street,77002,Houston
Four Seasons Hotel Houston,5,http://www.tripadvisor.com/Hotel_Review-g56003-d98952-Reviews-Four_Seasons_Hotel_Houston-Houston_Texas.html,,,1300 Lamar Street,77010,Houston
Extended Stay America - Houston - Northwest,2.5,http://www.tripadvisor.com/Hotel_Review-g56003-d107956-Reviews-Extended_Stay_America_Houston_Northwest-Houston_Texas.html,,,5454 Hollister Street,77040,Houston
Hilton Garden Inn Houston Energy Corridor,3,http://www.tripadvisor.com/Hotel_Review-g56003-d1158926-Reviews-Hilton_Garden_Inn_Houston_Energy_Corridor-Houston_Texas.html,,,12245 Katy Freeway,77079,Houston
Hilton Americas - Houston,4,http://www.tripadvisor.com/Hotel_Review-g56003-d282699-Reviews-Hilton_Americas_Houston-Houston_Texas.html,,,1600 Lamar,77010,Houston
BEST WESTERN PLUS Downtown Inn & Suites Houston,3.5,http://www.tripadvisor.com/Hotel_Review-g56003-d239853-Reviews-BEST_WESTERN_PLUS_Downtown_Inn_Suites_Houston-Houston_Texas.html,,,915 West Dallas,77019,Houston
Courtyard by Marriott Houston by the Galleria,3,http://www.tripadvisor.com/Hotel_Review-g56003-d665163-Reviews-Courtyard_by_Marriott_Houston_by_the_Galleria-Houston_Texas.html,,,2900 Sage Road,77056,Houston
Renaissance Houston Hotel Greenway Plaza,4,http://www.tripadvisor.com/Hotel_Review-g56003-d111618-Reviews-Renaissance_Houston_Hotel_Greenway_Plaza-Houston_Texas.html,,,6 Greenway Plaza East,77046,Houston
Westin Galleria Houston Hotel,4,http://www.tripadvisor.com/Hotel_Review-g56003-d99114-Reviews-Westin_Galleria_Houston_Hotel-Houston_Texas.html,,,5060 West Alabama Street,77056,Houston
Courtyard by Marriott Houston Westchase,3,http://www.tripadvisor.com/Hotel_Review-g56003-d107924-Reviews-Courtyard_by_Marriott_Houston_Westchase-Houston_Texas.html,,,9975 Westheimer Rd,77042,Houston
Hampton Inn and Suites Houston Medical Center - Reliant Park,2.5,http://www.tripadvisor.com/Hotel_Review-g56003-d223151-Reviews-Hampton_Inn_and_Suites_Houston_Medical_Center_Reliant_Park-Houston_Texas.html,,,1715 Old Spanish Trail,77054,Houston
La Quinta Inn Houston Northwest,2.5,http://www.tripadvisor.com/Hotel_Review-g56003-d223137-Reviews-La_Quinta_Inn_Houston_Northwest-Houston_Texas.html,,,11130 Northwest Freeway,77092,Houston
Alden-Houston,4,http://www.tripadvisor.com/Hotel_Review-g56003-d258636-Reviews-Alden_Houston-Houston_Texas.html,,,1117 Prairie Street,77002,Houston
Houston Marriott Westchase,3.5,http://www.tripadvisor.com/Hotel_Review-g56003-d98920-Reviews-Houston_Marriott_Westchase-Houston_Texas.html,,,2900 Briarpark Dr.,77042,Houston
Super 8 Houston Hobby Airport South,2,http://www.tripadvisor.com/Hotel_Review-g56003-d1236706-Reviews-Super_8_Houston_Hobby_Airport_South-Houston_Texas.html,,,10130 Almeda Genoa Road,77075,Houston
Residence Inn Houston Clear Lake,3,http://www.tripadvisor.com/Hotel_Review-g56003-d108057-Reviews-Residence_Inn_Houston_Clear_Lake-Houston_Texas.html,,,525 Bay Area Boulevard,77058,Houston
Carefree Inn Medical Center,2,http://www.tripadvisor.com/Hotel_Review-g56003-d240436-Reviews-Carefree_Inn_Medical_Center-Houston_Texas.html,,,10015 South Main Street,77025-5209,Houston
Super 8 Houston/Hobby Airport/I-45,2,http://www.tripadvisor.com/Hotel_Review-g56003-d266158-Reviews-Super_8_Houston_Hobby_Airport_I_45-Houston_Texas.html,,,8888 Gulf Freeway,77017,Houston
Holiday Inn Express Houston East,2.5,http://www.tripadvisor.com/Hotel_Review-g56003-d559491-Reviews-Holiday_Inn_Express_Houston_East-Houston_Texas.html,,,11460 East Freeway (I-10 East),77029,Houston
Crowne Plaza,,http://www.tripadvisor.com/Hotel_Review-g56003-d1630591-Reviews-Crowne_Plaza-Houston_Texas.html,,,7443 Cullen Blvd,77051,Houston
La Quinta Inn Houston Medical / Reliant Center,2,http://www.tripadvisor.com/Hotel_Review-g56003-d99106-Reviews-La_Quinta_Inn_Houston_Medical_Reliant_Center-Houston_Texas.html,,,9911 Buffalo Speedway,77054,Houston
Royal Sonesta Hotel Houston,4,http://www.tripadvisor.com/Hotel_Review-g56003-d242394-Reviews-Royal_Sonesta_Hotel_Houston-Houston_Texas.html,,,2222 West Loop South,77027,Houston
Holiday Inn Houston Intercontinental Airport,3,http://www.tripadvisor.com/Hotel_Review-g56003-d108148-Reviews-Holiday_Inn_Houston_Intercontinental_Airport-Houston_Texas.html,,,15222 John F Kennedy Blvd,77032,Houston
"Four Points by Sheraton Houston, Memorial City",3,http://www.tripadvisor.com/Hotel_Review-g56003-d99067-Reviews-Four_Points_by_Sheraton_Houston_Memorial_City-Houston_Texas.html,,,10655 Katy Freeway,77024,Houston
Residence Inn Houston West/Energy Corridor,,http://www.tripadvisor.com/Hotel_Review-g56003-d585164-Reviews-Residence_Inn_Houston_West_Energy_Corridor-Houston_Texas.html,,,1150 Eldridge Parkway,77077,Houston
Marriott Houston Airport at George Bush Intercontinental,3.5,http://www.tripadvisor.com/Hotel_Review-g56003-d98987-Reviews-Marriott_Houston_Airport_at_George_Bush_Intercontinental-Houston_Texas.html,,,18700 John F. Kennedy Boulevard,77032,Houston
Extended Stay America - Houston - Westchase - Westheimer,2,http://www.tripadvisor.com/Hotel_Review-g56003-d107863-Reviews-Extended_Stay_America_Houston_Westchase_Westheimer-Houston_Texas.html,,,2424 W Sam Houston Pkwy.,77042,Houston
Scottish Inn & Suites Reliant Park/Six Flags,,http://www.tripadvisor.com/Hotel_Review-g56003-d258634-Reviews-Scottish_Inn_Suites_Reliant_Park_Six_Flags-Houston_Texas.html,,,8510 Almeda Rd,77054,Houston
TownePlace Suites Houston Clear Lake,2,http://www.tripadvisor.com/Hotel_Review-g56003-d108054-Reviews-TownePlace_Suites_Houston_Clear_Lake-Houston_Texas.html,,,1050 Bay Area Boulevard,77058,Houston
Quality Inn & Suites West Chase,2.5,http://www.tripadvisor.com/Hotel_Review-g56003-d223158-Reviews-Quality_Inn_Suites_West_Chase-Houston_Texas.html,,,2930 West Sam Houston Parkway South,77042,Houston
Holiday Inn Express Hotel & Suites Houston NW-Beltway 8-West Road,2.5,http://www.tripadvisor.com/Hotel_Review-g56003-d1773009-Reviews-Holiday_Inn_Express_Hotel_Suites_Houston_NW_Beltway_8_West_Road-Houston_Texas.html,,,9120 West Road,77064,Houston
Hyatt Place Houston/Greenspoint/IAH Airport,3,http://www.tripadvisor.com/Hotel_Review-g56003-d107834-Reviews-Hyatt_Place_Houston_Greenspoint_IAH_Airport-Houston_Texas.html,,,300 Ronan Park Place,77060,Houston
Hampton Inn Houston - Near The Galleria,2.5,http://www.tripadvisor.com/Hotel_Review-g56003-d223154-Reviews-Hampton_Inn_Houston_Near_The_Galleria-Houston_Texas.html,,,4500 Post Oak Parkway,77027,Houston
Homewood Suites by Hilton Houston - Clear Lake,3,http://www.tripadvisor.com/Hotel_Review-g56003-d223164-Reviews-Homewood_Suites_by_Hilton_Houston_Clear_Lake-Houston_Texas.html,,,401 Bay Area Blvd.,77058,Houston
Drury Inn & Suites Houston Hobby,2.5,http://www.tripadvisor.com/Hotel_Review-g56003-d108149-Reviews-Drury_Inn_Suites_Houston_Hobby-Houston_Texas.html,,,7902 Mosley Road,77061,Houston
Ramada Houston Intercontinental Airport South,3,http://www.tripadvisor.com/Hotel_Review-g56003-d142023-Reviews-Ramada_Houston_Intercontinental_Airport_South-Houston_Texas.html,,,15350 John F. Kennedy Boulevard,77032,Houston
Baymont Inn & Suites Houston,2.5,http://www.tripadvisor.com/Hotel_Review-g56003-d223148-Reviews-Baymont_Inn_Suites_Houston-Houston_Texas.html,,,502 N Sam Houston Parkway East,77060,Houston
Hilton Houston Westchase,3.5,http://www.tripadvisor.com/Hotel_Review-g56003-d99132-Reviews-Hilton_Houston_Westchase-Houston_Texas.html,,,9999 Westheimer Road,77042-3802,Houston
BEST WESTERN Heritage Inn,2.5,http://www.tripadvisor.com/Hotel_Review-g56003-d108020-Reviews-BEST_WESTERN_Heritage_Inn-Houston_Texas.html,,,10521 I-10 East Freeway,77029,Houston
Courtyard by Marriott Houston Hobby Airport,3,http://www.tripadvisor.com/Hotel_Review-g56003-d108150-Reviews-Courtyard_by_Marriott_Houston_Hobby_Airport-Houston_Texas.html,,,9190 Gulf Freeway,77017,Houston
Comfort Suites Westchase,2.5,http://www.tripadvisor.com/Hotel_Review-g56003-d223141-Reviews-Comfort_Suites_Westchase-Houston_Texas.html,,,2830 Wilcrest Drive & Westheimer,77042,Houston
Days Inn And Suites Houston IAH Airport,2.5,http://www.tripadvisor.com/Hotel_Review-g56003-d223160-Reviews-Days_Inn_And_Suites_Houston_IAH_Airport-Houston_Texas.html,,,10137 North Freeway,77037,Houston
Holiday Inn Express Hotel & Suites Houston Hwy 59S/Hillcroft,2.5,http://www.tripadvisor.com/Hotel_Review-g56003-d223179-Reviews-Holiday_Inn_Express_Hotel_Suites_Houston_Hwy_59S_Hillcroft-Houston_Texas.html,,,6687 Southwest Freeway,77074,Houston
Sheraton North Houston at George Bush Intercontinental,3.5,http://www.tripadvisor.com/Hotel_Review-g56003-d99101-Reviews-Sheraton_North_Houston_at_George_Bush_Intercontinental-Houston_Texas.html,,,15700 John F Kennedy Boulevard,77032,Houston
Staybridge Suites Houston West / Energy Corridor,3,http://www.tripadvisor.com/Hotel_Review-g56003-d596014-Reviews-Staybridge_Suites_Houston_West_Energy_Corridor-Houston_Texas.html,,,1225 Eldridge Pkwy,77077,Houston
Scottish Inns & Suites - Willowbrook,,http://www.tripadvisor.com/Hotel_Review-g56003-d815515-Reviews-Scottish_Inns_Suites_Willowbrook-Houston_Texas.html,,,14720 State Highway 249,77086,Houston
Sun Suites of Hobby / Clearlake,2,http://www.tripadvisor.com/Hotel_Review-g56003-d256700-Reviews-Sun_Suites_of_Hobby_Clearlake-Houston_Texas.html,,,12485 Gulf Freeway,77034,Houston
Sun Suites Of Westchase,2,http://www.tripadvisor.com/Hotel_Review-g56003-d256702-Reviews-Sun_Suites_Of_Westchase-Houston_Texas.html,,,3100 West Sam Houston Pkwy S,77042,Houston
Staybridge Suites Houston Iah - Beltway 8,3,http://www.tripadvisor.com/Hotel_Review-g56003-d2712053-Reviews-Staybridge_Suites_Houston_Iah_Beltway_8-Houston_Texas.html,,,1910 North Sam Houston Parkway East,77032,Houston
Symphony Inn & Suites,2,http://www.tripadvisor.com/Hotel_Review-g56003-d650546-Reviews-Symphony_Inn_Suites-Houston_Texas.html,,,11744 Southwest Freeway,77031,Houston
Americas Best Value Inn-Texas Medical Center/Reliant Park,1.5,http://www.tripadvisor.com/Hotel_Review-g56003-d99004-Reviews-Americas_Best_Value_Inn_Texas_Medical_Center_Reliant_Park-Houston_Texas.html,,,9604 S. Main,77025,Houston
Hampton Inn Houston Hobby Airport,2.5,http://www.tripadvisor.com/Hotel_Review-g56003-d223149-Reviews-Hampton_Inn_Houston_Hobby_Airport-Houston_Texas.html,,,8620 Airport Blvd,77061,Houston
DoubleTree by Hilton Houston Hobby Airport,3.5,http://www.tripadvisor.com/Hotel_Review-g56003-d98989-Reviews-DoubleTree_by_Hilton_Houston_Hobby_Airport-Houston_Texas.html,,,8181 Airport Boulevard,77061-4142,Houston
Candlewood Suites Houston by the Galleria,2,http://www.tripadvisor.com/Hotel_Review-g56003-d107930-Reviews-Candlewood_Suites_Houston_by_the_Galleria-Houston_Texas.html,,,4900 Loop Central Drive,77081,Houston
La Quinta Inn Houston Wilcrest,2,http://www.tripadvisor.com/Hotel_Review-g56003-d99041-Reviews-La_Quinta_Inn_Houston_Wilcrest-Houston_Texas.html,,,11113 Katy Freeway,77079-2102,Houston
Travelodge Houston,2,http://www.tripadvisor.com/Hotel_Review-g56003-d1627951-Reviews-Travelodge_Houston-Houston_Texas.html,,,8800 Airport Blvd.,77061,Houston
Hampton Inn & Suites Houston-Westchase,2.5,http://www.tripadvisor.com/Hotel_Review-g56003-d486939-Reviews-Hampton_Inn_Suites_Houston_Westchase-Houston_Texas.html,,,6440 W Sam Houston Pkwy S,77072,Houston
Star Inn & Suites,,http://www.tripadvisor.com/Hotel_Review-g56003-d558146-Reviews-Star_Inn_Suites-Houston_Texas.html,,,4515 Airline Dr,77022,Houston
Sun Suites Of Greenspoint,2,http://www.tripadvisor.com/Hotel_Review-g56003-d258635-Reviews-Sun_Suites_Of_Greenspoint-Houston_Texas.html,,,12010 Kuykendahl Road,77067,Houston
Americas Best Value Inn - Medical Center North,,http://www.tripadvisor.com/Hotel_Review-g56003-d1636050-Reviews-Americas_Best_Value_Inn_Medical_Center_North-Houston_Texas.html,,,2419 Riverside Drive,77004,Houston
Super 8 Houston/Downtown/I-610,2,http://www.tripadvisor.com/Hotel_Review-g56003-d266326-Reviews-Super_8_Houston_Downtown_I_610-Houston_Texas.html,,,5550 Homestead Road,77028,Houston
Athens Hotel Suites,,http://www.tripadvisor.com/Hotel_Review-g56003-d1155392-Reviews-Athens_Hotel_Suites-Houston_Texas.html,,,1308 Clay St,77002,Houston
Americas Best Value Inn & Suites - Houston/Northwest,2,http://www.tripadvisor.com/Hotel_Review-g56003-d107884-Reviews-Americas_Best_Value_Inn_Suites_Houston_Northwest-Houston_Texas.html,,,12170 Northwest Freeway,77092,Houston
"Park Inn by Radisson, Houston North",3,http://www.tripadvisor.com/Hotel_Review-g56003-d1514581-Reviews-Park_Inn_by_Radisson_Houston_North-Houston_Texas.html,,,500 N Sam Houston Pkwy,77060,Houston
Holiday Inn Houston Hobby Airport,3,http://www.tripadvisor.com/Hotel_Review-g56003-d98964-Reviews-Holiday_Inn_Houston_Hobby_Airport-Houston_Texas.html,,,8611 Airport Blvd.,77061,Houston
Extended Stay America - Houston - Katy Freeway - Energy Corridor,2.5,http://www.tripadvisor.com/Hotel_Review-g56003-d595438-Reviews-Extended_Stay_America_Houston_Katy_Freeway_Energy_Corridor-Houston_Texas.html,,,"15385 Katy Freeway, I-10",77094,Houston
La Quinta Inn Houston Wirt Road,,http://www.tripadvisor.com/Hotel_Review-g56003-d1160746-Reviews-La_Quinta_Inn_Houston_Wirt_Road-Houston_Texas.html,,,8017 Katy Freeway,77024,Houston
Baymont Inn Houston Hobby Airport,2,http://www.tripadvisor.com/Hotel_Review-g56003-d99013-Reviews-Baymont_Inn_Houston_Hobby_Airport-Houston_Texas.html,,,9902 Gulf Freeway,77034,Houston
Montecito Apartment Suites,,http://www.tripadvisor.com/Hotel_Review-g56003-d107846-Reviews-Montecito_Apartment_Suites-Houston_Texas.html,,,2300 McCue Rd,77056,Houston
Value Place Conroe,,http://www.tripadvisor.com/Hotel_Review-g56003-d1146185-Reviews-Value_Place_Conroe-Houston_Texas.html,,,2551 I 45 NORTH,77034,Houston
Interstate Motor Lodge,,http://www.tripadvisor.com/Hotel_Review-g56003-d226728-Reviews-Interstate_Motor_Lodge-Houston_Texas.html,,,13213 I-10 East Freeway,77015,Houston
Studio 6 Houston Northwest,,http://www.tripadvisor.com/Hotel_Review-g56003-d239859-Reviews-Studio_6_Houston_Northwest-Houston_Texas.html,,,14255 Northwest Freeway,77040,Houston
Holiday Inn Houston Near The Galleria,3,http://www.tripadvisor.com/Hotel_Review-g56003-d98962-Reviews-Holiday_Inn_Houston_Near_The_Galleria-Houston_Texas.html,,,7787 Katy Freeway,77024,Houston
Holiday Inn Express & Suites Houston North Intercontinental,2.5,http://www.tripadvisor.com/Hotel_Review-g56003-d223178-Reviews-Holiday_Inn_Express_Suites_Houston_North_Intercontinental-Houston_Texas.html,,,125 Airtex Drive,77090,Houston
Houston Inn and Suites,,http://www.tripadvisor.com/Hotel_Review-g56003-d98940-Reviews-Houston_Inn_and_Suites-Houston_Texas.html,,,2200 South Wayside Drive,77023,Houston
Econo Lodge,2,http://www.tripadvisor.com/Hotel_Review-g56003-d107802-Reviews-Econo_Lodge-Houston_Texas.html,,,6630 Hoover Street,77092,Houston
Howard Johnson Clearlake,2,http://www.tripadvisor.com/Hotel_Review-g56003-d277895-Reviews-Howard_Johnson_Clearlake-Houston_Texas.html,,,15313 Gulf Freeway,77034,Houston
Best Value Inn & Suites Houston,,http://www.tripadvisor.com/Hotel_Review-g56003-d108136-Reviews-Best_Value_Inn_Suites_Houston-Houston_Texas.html,,,9000 S Main St,77025,Houston
Airport Inn And Suites,,http://www.tripadvisor.com/Hotel_Review-g56003-d488773-Reviews-Airport_Inn_And_Suites-Houston_Texas.html,,,8115 East Haven Blvd,77034,Houston
Comfort Inn Houston,2.5,http://www.tripadvisor.com/Hotel_Review-g56003-d223156-Reviews-Comfort_Inn_Houston-Houston_Texas.html,,,11230 Southwest Freeway,77031,Houston
Howard Johnson Express Inn - Houston,2,http://www.tripadvisor.com/Hotel_Review-g56003-d107903-Reviews-Howard_Johnson_Express_Inn_Houston-Houston_Texas.html,,,4602 Katy Freeway/I-10,77007,Houston
Extended Stay America - Houston - Med. Ctr. - Reliant Pk. - Fannin St.,2,http://www.tripadvisor.com/Hotel_Review-g56003-d217745-Reviews-Extended_Stay_America_Houston_Med_Ctr_Reliant_Pk_Fannin_St-Houston_Texas.html,,,7979 Fannin Street,77054,Houston
Fairfield Inn & Suites Houston I-45 North,2.5,http://www.tripadvisor.com/Hotel_Review-g56003-d107769-Reviews-Fairfield_Inn_Suites_Houston_I_45_North-Houston_Texas.html,,,17617 North Freeway,77090,Houston
Travelodge Houston - Intercontinental,,http://www.tripadvisor.com/Hotel_Review-g56003-d223135-Reviews-Travelodge_Houston_Intercontinental-Houston_Texas.html,,,12701 North Freeway,77060,Houston
Londale Hotel,,http://www.tripadvisor.com/Hotel_Review-g56003-d122746-Reviews-Londale_Hotel-Houston_Texas.html,,,419 1/2 San Jacinto Street,77002,Houston
Studio 6 Houston - Westchase,,http://www.tripadvisor.com/Hotel_Review-g56003-d226721-Reviews-Studio_6_Houston_Westchase-Houston_Texas.html,,,3030 West Sam Houston Parkway South,77042,Houston
Ramada Houston Southwest,2,http://www.tripadvisor.com/Hotel_Review-g56003-d107713-Reviews-Ramada_Houston_Southwest-Houston_Texas.html,,,6885 Southwest Freeway,77074,Houston
Econo Lodge Medical Center,,http://www.tripadvisor.com/Hotel_Review-g56003-d142353-Reviews-Econo_Lodge_Medical_Center-Houston_Texas.html,,,7905 S Main St,77025,Houston
Hobby Inn and Suites,,http://www.tripadvisor.com/Hotel_Review-g56003-d266125-Reviews-Hobby_Inn_and_Suites-Houston_Texas.html,,,7775 Airport Blvd,77061,Houston
Texan Inn & Suites,,http://www.tripadvisor.com/Hotel_Review-g56003-d596446-Reviews-Texan_Inn_Suites-Houston_Texas.html,,,12223 Veterans Memorial Dr,77067,Houston
Hotel Preet Northwest,,http://www.tripadvisor.com/Hotel_Review-g56003-d98976-Reviews-Hotel_Preet_Northwest-Houston_Texas.html,,,14996 Northwest Freeway,77040,Houston
InTown Suites Houston Northwest / Cy-Fair (XHW) - Houston,,http://www.tripadvisor.com/Hotel_Review-g56003-d223183-Reviews-InTown_Suites_Houston_Northwest_Cy_Fair_XHW_Houston-Houston_Texas.html,,,13125 FM 1960 West,77065,Houston
InTown Suites Highway 290,,http://www.tripadvisor.com/Hotel_Review-g56003-d223184-Reviews-InTown_Suites_Highway_290-Houston_Texas.html,,,14041 NW Freeway,77040,Houston
Americas Best Value Inn & Suites - Bush Int'l Airport Wes,2,http://www.tripadvisor.com/Hotel_Review-g56003-d107757-Reviews-Americas_Best_Value_Inn_Suites_Bush_Int_l_Airport_Wes-Houston_Texas.html,,,702 N Sam Houston Parkway East,77060,Houston
Southwest Inn,,http://www.tripadvisor.com/Hotel_Review-g56003-d2340286-Reviews-Southwest_Inn-Houston_Texas.html,,,6855 Southwest Freeway 59,77074,Houston
Motel 6 Houston West - Katy,,http://www.tripadvisor.com/Hotel_Review-g56003-d99051-Reviews-Motel_6_Houston_West_Katy-Houston_Texas.html,,,14833 Katy Freeway,77094,Houston
Value Place I-10 West,,http://www.tripadvisor.com/Hotel_Review-g56003-d1382899-Reviews-Value_Place_I_10_West-Houston_Texas.html,,,121 Baker Road,77094,Houston
Motel 6 Houston - Westchase,2,http://www.tripadvisor.com/Hotel_Review-g56003-d244313-Reviews-Motel_6_Houston_Westchase-Houston_Texas.html,,,2900 West Sam Houston Parkway South,77042,Houston
Great Value Inn,,http://www.tripadvisor.com/Hotel_Review-g56003-d99098-Reviews-Great_Value_Inn-Houston_Texas.html,,,6060 Hooton Street,77081,Houston
Budget Host Hempstead Inn,2,http://www.tripadvisor.com/Hotel_Review-g56003-d277892-Reviews-Budget_Host_Hempstead_Inn-Houston_Texas.html,,,12708 Hempstead Hwy.,77092,Houston
Hotel Preet Grand Conference Center,,http://www.tripadvisor.com/Hotel_Review-g56003-d1164945-Reviews-Hotel_Preet_Grand_Conference_Center-Houston_Texas.html,,,11050 Southwest Fwy,77074,Houston
Astro Inn,,http://www.tripadvisor.com/Hotel_Review-g56003-d98937-Reviews-Astro_Inn-Houston_Texas.html,,,100 West Cavalcade,77009,Houston
America's Inn,2,http://www.tripadvisor.com/Hotel_Review-g56003-d99031-Reviews-America_s_Inn-Houston_Texas.html,,,8201 Southwest Freeway,77074,Houston
Downtowner Inn and Suites,2,http://www.tripadvisor.com/Hotel_Review-g56003-d73463-Reviews-Downtowner_Inn_and_Suites-Houston_Texas.html,,,8600 Gulf Freeway,77017,Houston
Value Place Airtex,,http://www.tripadvisor.com/Hotel_Review-g56003-d1146238-Reviews-Value_Place_Airtex-Houston_Texas.html,,,14900 North Freeway,77090,Houston
Value Place West Chase,,http://www.tripadvisor.com/Hotel_Review-g56003-d1147065-Reviews-Value_Place_West_Chase-Houston_Texas.html,,,5959 W SAM HOUSTON S PKWY,77072,Houston
Ramada Inn North Houston,,http://www.tripadvisor.com/Hotel_Review-g56003-d98972-Reviews-Ramada_Inn_North_Houston-Houston_Texas.html,,,16510 I-45 N,77090,Houston
Quality Inn & Suites West - Energy Corridor,2,http://www.tripadvisor.com/Hotel_Review-g56003-d107999-Reviews-Quality_Inn_Suites_West_Energy_Corridor-Houston_Texas.html,,,715 Highway 6 South,77079,Houston
Super 8 Houston/I-10/Federal Road,2,http://www.tripadvisor.com/Hotel_Review-g56003-d239355-Reviews-Super_8_Houston_I_10_Federal_Road-Houston_Texas.html,,,1217 Federal Road,77015,Houston
