RestaurantId,RestaurantName,Rating,Address,Area,Category,Service,ZipCode
91,"Hurry Curry of Tokyo - Bellevue",3.5,"15015 Main St, Ste 114, Bellevue, WA 98007",0.00,"['Japanese Curry', 'Comfort Food']","['Outdoor dining', 'Delivery', 'Takeout']",98007
92,"Minamoto Japanese Restaurant",3.5,"11061 NE 9th St, Bellevue, WA 98004",0.00,"['Japanese', 'Sushi Bars']","['Outdoor dining', 'Delivery', 'Takeout']",98004
93,"California Monster Sushi",3.5,"25620 104th Ave SE, Kent, WA 98030",0.00,"['Japanese', 'Sushi Bars', 'Seafood']","['Delivery', 'Takeout']",98030
94,"Central Bar + Restaurant",3.5,"10475 NE 6th St, Bellevue, WA 98004",0.00,"['American (Traditional)', 'Bars', 'Breakfast & Brunch']","['Outdoor dining', 'Delivery', 'Takeout']",98004
95,Maichilin,3.5,"14603 NE 20th St, Ste C-06, Bellevue, WA 98007",0.00,"['Hong Kong Style Cafe', 'Bubble Tea']",['Takeout'],98007
96,"Tokyo Japanese Steak House",3.5,"1404 S 320th St, Federal Way, WA 98003",0.00,"['Steakhouses', 'Sushi Bars', 'Teppanyaki']","['Outdoor dining', 'Delivery', 'Takeout']",98003
97,"516 Bar And Grill",3.5,"23846 SE Kent Kangley Rd, Unit E 11, Maple Valley, WA 98038",0.00,"['Breakfast & Brunch', 'Bars', 'Burgers']","['Outdoor dining']",98038
98,"MOD Pizza",3.5,"417 Ramsay Way, Kent, WA 98032",0.00,"['Fast Food', 'Pizza']","['Delivery', 'Takeout']",98032
99,"Sam’s Tavern",3.5,"931 108th Ave NE, Bellevue, WA 98004",0.00,"['Bars', 'Burgers', 'American (New)']",[],98004
100,"Hotpot World Rotary",3.5,"2020 S 320th St, Ste G, Federal Way, WA 98003",0.00,"['Hot Pot', 'Juice Bars & Smoothies', 'Seafood']",[],98003
101,"California Monster Sushi",3.5,"25620 104th Ave SE, Kent, WA 98030",0.00,"['Japanese', 'Sushi Bars', 'Seafood']","['Delivery', 'Takeout']",98030
102,"Happy Lemon",3.5,"22001 Hwy 99 Foyer, Edmonds, WA 98026",0.00,"['Bubble Tea', 'Donuts', 'Hot Dogs']",['Delivery'],98026
103,"Kuan & Zhai Alley",3.5,"14409 Greenwood Ave N, Seattle, WA 98133",0.00,['Szechuan'],"['Delivery', 'Takeout']",98133
104,"Bis on Main",3.5,"10213 Main St, Bellevue, WA 98004",0.00,"['American (New)', 'Bars', 'Steakhouses']",[],98004
105,"Buerjia Chinese Sauerkraut Fish",3.5,"13200 Aurora Ave N, Seattle, WA 98133",0.00,"['Szechuan', 'Seafood', 'Comfort Food']","['Outdoor dining', 'Delivery', 'Takeout']",98133
106,"Discount Produce and Fruit Market",3.5,"24202 104th Ave SE, Kent, WA 98030",0.00,"['International Grocery', 'Sushi Bars']","['Outdoor dining', 'Delivery', 'Takeout']",98030
107,"Kamal Da Dhaba",3.5,"10225 SE 256th St, Kent, WA 98030",0.00,"['Indian', 'Halal']","['Outdoor dining', 'Delivery', 'Takeout']",98030
108,"Monte Carlo Pub",3.5,"1617 W Meeker St, Kent, WA 98032",0.00,"['Pubs', 'American (New)', 'Sports Bars']",[],98032
109,IHOP,3.5,"24060 104th Ave SE, Kent, WA 98031",0.00,"['Breakfast & Brunch', 'American (Traditional)', 'Burgers']","['Live wait time: 0 mins', 'Outdoor dining', 'Delivery', 'Takeout']",98031
110,"Man vs Fries",3.5,"130 5th Ave N, Seattle, WA 98109",0.00,"['Food Delivery Services', 'Fast Food']","['Outdoor dining', 'Delivery']",98109
111,"Man vs Fries",3.5,"825 NE Northgate Way, Seattle, WA 98125",0.00,"['Food Delivery Services', 'Fast Food']","['Outdoor dining', 'Delivery']",98125
112,"Man vs Fries",3.5,"130 5th Ave N, Seattle, WA 98109",0.00,"['Food Delivery Services', 'Fast Food']","['Outdoor dining', 'Delivery']",98109
113,"Man vs Fries",3.5,"825 NE Northgate Way, Seattle, WA 98125",0.00,"['Food Delivery Services', 'Fast Food']","['Outdoor dining', 'Delivery']",98125
114,"Nana’s Green Tea",4,"1007 Stewart St, Ste 103, Seattle, WA 98101",0.00,"['Japanese', 'Desserts', 'Cafes']","['Delivery', 'Takeout']",98101
115,"Noi Thai Cuisine",4,"1303 1st Ave, Harbor Steps Building, Seattle, WA 98101",0.00,['Thai'],"['Outdoor dining', 'Delivery', 'Takeout']",98101
116,"Red Stone Tofu House",4,"1616 S 325th St, Federal Way, WA 98003",0.00,"['Korean', 'Vegetarian']",[],98003
117,"Cafe Opla",4,"2200 Alaskan Way, Ste 120, Seattle, WA 98121",0.00,"['Coffee & Tea', 'Breakfast & Brunch', 'Cafes']","['Outdoor dining', 'Takeout']",98121
118,"Vons Chicken",4,"1400 S 312th St, Ste 1, Federal Way, WA 98003",0.00,"['Chicken Shop', 'Chicken Wings']","['Delivery', 'Takeout']",98003
119,"May May Hong Kong BBQ",4,"1414 S 324th St, Ste B111, Federal Way, WA 98003",0.00,"['Cantonese', 'Bubble Tea', 'Barbeque']","['Outdoor dining', 'Delivery', 'Takeout']",98003
120,"Ristorante Machiavelli",4,"1215 Pine St, Seattle, WA 98101",0.00,"['Italian', 'Pizza', 'Desserts']","['Delivery', 'Takeout']",98101
121,"Bogul Bogul Cafe",4,"33320 Pacific Hwy S, Ste 106, Federal Way, WA 98003",0.00,['Korean'],"['Outdoor dining', 'Delivery', 'Takeout']",98003
122,"Mr. West Cafe Bar",4,"720 Olive Way, Ste 103, Seattle, WA 98101",0.00,"['Bars', 'Cafes', 'Breakfast & Brunch']","['Outdoor dining', 'Delivery', 'Takeout']",98101
123,"Bounty Kitchen Denny Triangle",4,"801 Lenora St, Seattle, WA 98121",0.00,"['Breakfast & Brunch', 'Salad', 'Wine Bars']","['Outdoor dining', 'Delivery', 'Takeout']",98121
124,"Cafe Opla",4,"2200 Alaskan Way, Ste 120, Seattle, WA 98121",0.00,"['Coffee & Tea', 'Breakfast & Brunch', 'Cafes']","['Outdoor dining', 'Takeout']",98121
125,"Pac Island Grill",4,"2012 S 320th St, Ste H, Federal Way, WA 98003",0.00,"['Barbeque', 'Hawaiian']",['Takeout'],98003
126,"Kona Kitchen - Seattle",4,"8501 5th Ave NE, Seattle, WA 98115",0.00,"['Hawaiian', 'Breakfast & Brunch', 'Lounges']",['Takeout'],98115
127,"Café Campagne",4,"1600 Post Aly, Seattle, WA 98101",0.00,"['French', 'Breakfast & Brunch', 'Cafes']","['Proof of vaccination required', 'Delivery', 'Takeout']",98101
128,"Kona Kitchen - Seattle",4,"8501 5th Ave NE, Seattle, WA 98115",0.00,"['Hawaiian', 'Breakfast & Brunch', 'Lounges']",['Takeout'],98115
129,"Eve Fremont",4,"704 N 34th St, Seattle, WA 98103",0.00,"['American (New)']","['Delivery', 'Takeout']",98103
130,"Black Bottle",4,"919 Bellevue Way NE, Bellevue, WA 98004",0.00,"['American (New)', 'Gastropubs', 'Tapas/Small Plates']","['Outdoor dining', 'Takeout']",98004
131,"Castilla Restaurant and Tapas Bar",4,"504 Bellevue Square, Bellevue, WA 98004",0.00,"['Spanish', 'Tapas Bars', 'Cocktail Bars']","['Delivery', 'Takeout']",98004
132,"So Moon Nan Jib",4,"33324 Pacific Hwy S, Ste 203, Federal Way, WA 98003",0.00,"['Korean', 'Barbeque']","['Outdoor dining', 'Delivery', 'Takeout']",98003
133,"Mediterranean Kitchen",4,"103 Bellevue Way NE, Ste 103, Bellevue, WA 98004",0.00,"['Greek', 'Mediterranean', 'Halal']","['Outdoor dining', 'Delivery', 'Takeout']",98004
134,"Japonessa Sushi Cocina",4,"1400 1st Ave, Seattle, WA 98101",0.00,"['Sushi Bars', 'Japanese', 'Cocktail Bars']","['Outdoor dining', 'Delivery', 'Takeout']",98101
135,"Facing East",4,"1075 Bellevue Way NE, Ste B-2, Bellevue, WA 98004",0.00,"['Chinese', 'Taiwanese']","['Delivery', 'Takeout']",98004
136,"Cactus Restaurants",4,"121 Park Ln, Kirkland, WA 98033",0.00,"['Tex-Mex', 'Mexican', 'New Mexican Cuisine']","['Live wait time: 0 mins', 'Outdoor dining', 'Delivery', 'Takeout']",98033
137,"Cactus Restaurants",4,"535 Bellevue Sq, Bellevue, WA 98004",0.00,"['Tex-Mex', 'Mexican', 'New Mexican Cuisine']","['Live wait time: 0 mins', 'Outdoor dining', 'Delivery', 'Takeout']",98004
138,"Katsu Burger",4,"22618 WA-99, Ste 110, Edmonds, WA 98026",0.00,"['Burgers', 'Fast Food', 'Japanese']","['Outdoor dining', 'Delivery', 'Takeout']",98026
139,"Ascend Prime Steak & Sushi",4,"10400 NE 4th St, Ste 3100, Bellevue, WA 98004",0.00,"['Sushi Bars', 'Steakhouses', 'American (New)']","['Outdoor dining', 'Takeout']",98004
140,"The Dolar Shop",4,"11020 NE 6th St, Ste 90, Bellevue, WA 98004",0.00,"['Chinese', 'Hot Pot']","['Live wait time: 29 - 44 mins', 'Outdoor dining', 'Delivery', 'Takeout']",98004
141,"Vinifera Wine Bar & Bistro",4,"18 Auburn Way S, Auburn, WA 98002",0.00,"['Wine Bars', 'American (New)', 'Cocktail Bars']","['Outdoor dining', 'Takeout']",98002
142,"Cielo Cocina Mexicana",4,"958 111th Ave NE, Ste 101, Bellevue, WA 98004",0.00,['Mexican'],"['Outdoor dining', 'Delivery', 'Takeout']",98004
143,"Din Tai Fung",4,"181 Southcenter Mall, Tukwila, WA 98188",0.00,"['Taiwanese', 'Dim Sum', 'Shanghainese']","['Delivery', 'Takeout']",98188
144,"Din Tai Fung",4,"181 Southcenter Mall, Tukwila, WA 98188",0.00,"['Taiwanese', 'Dim Sum', 'Shanghainese']","['Delivery', 'Takeout']",98188
145,"Gyu-Kaku Japanese BBQ",4,"14506 NE 20th St, Ste 2, Bellevue, WA 98007",0.00,"['Barbeque', 'Japanese', 'Asian Fusion']","['Delivery', 'Takeout']",98007
146,"Art of The Table",4,"3801 Stone Way N, Seattle, WA 98103",0.00,"['American (New)']","['Delivery', 'Takeout']",98103
147,Shaburina,4,"2720 152nd Ave NE, Ste 130, Redmond, WA 98052",0.00,"['Buffets', 'Hot Pot', 'Japanese']","['Waitlist opens at 5:00 pm', 'Delivery', 'Takeout']",98052
148,"Fogo de Chao",4,"440 Bellevue Way NE, Bellevue, WA 98004",0.00,"['Brazilian', 'Steakhouses']","['Outdoor dining', 'Delivery', 'Takeout']",98004
149,"Shabu Shabu Kyoto Japanese Restaurant",4,"627 156th Ave SE, Bellevue, WA 98007",0.00,"['Japanese', 'Hot Pot', 'Do-It-Yourself Food', 'Wine Bars']","['Outdoor dining', 'Delivery', 'Takeout']",98007
150,"Pac Island Grill",4,"2012 S 320th St, Ste H, Federal Way, WA 98003",0.00,"['Barbeque', 'Hawaiian']",['Takeout'],98003
151,"The Carlile Room",4,"820 Pine St, Seattle, WA 98101",0.00,"['American (New)', 'Bars', 'Burgers']","['Outdoor dining', 'Delivery', 'Takeout']",98101
152,Woodblock,4,"16175 Cleveland St, Ste 109, Redmond, WA 98052",0.00,"['Cocktail Bars', 'American (New)']","['Outdoor dining', 'Delivery', 'Takeout']",98052
153,"Katsu Burger",4,"3333 184th St SW, Ste B, Lynnwood, WA 98037",0.00,"['Burgers', 'Fast Food', 'Japanese']","['Outdoor dining', 'Delivery', 'Takeout']",98037
154,"Seastar Restaurant & Raw Bar",4,"205 108th Ave NE, Ste 100, Bellevue, WA 98004",0.00,"['American (New)', 'Seafood', 'Live/Raw Food']","['Outdoor dining', 'Delivery', 'Takeout']",98004
155,Musashi’s,4,"2200 W Meeker St, Ste Y-104, Kent, WA 98032",0.00,"['Japanese', 'Sushi Bars']","['Delivery', 'Takeout']",98032
156,Musashi’s,4,"7405 168th Ave NE, Ste 150, Redmond, WA 98052",0.00,"['Japanese', 'Sushi Bars']","['Delivery', 'Takeout']",98052
157,"How To Cook a Wolf",4,"2208 Queen Anne Ave N, Seattle, WA 98109",0.00,['Italian'],"['Outdoor dining', 'Delivery', 'Takeout']",98109
158,"Yummy Meats & Deli",4,"509 S 3rd St, Unit B, Renton, WA 98057",0.00,"['American (New)', 'Chicken Shop', 'Sandwiches']","['Delivery', 'Takeout']",98057
159,"How to Cook a Wolf",4,"4200 E Madison St, Seattle, WA 98112",0.00,['Italian'],"['Outdoor dining', 'Delivery', 'Takeout']",98112
160,"Black Bottle",4,"919 Bellevue Way NE, Bellevue, WA 98004",0.00,"['American (New)', 'Gastropubs', 'Tapas/Small Plates']",[],98004
161,"Tian Fu",4,"300 NE Northgate Way, Seattle, WA 98125",0.00,['Chinese'],"['Opened 2 months ago']",98125
